trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
tahlan_utpc_trail_glow,tahlan_utpc_shot,tahlan_trail_zappy,10,0,0.05,0.2,50,20,"[255,54,0]","[255,54,0]",0.3,300,500,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_utpc_splinter_trail_glow,tahlan_utpc_shot_splinter,tahlan_trail_zappy,10,0,0.05,0.2,30,10,"[255,54,0]","[255,54,0]",0.3,300,500,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_utpc_trail,tahlan_utpc_shot,tahlan_trail_contrail,10,0,0.1,0.6,16,24,"[150,120,110]","[50,50,50]",0.4,300,500,true,10,5,1,TRUE,FALSE,FALSE,30,50,0.3,0,75,100,true,false
tahlan_utpc_splinter_trail,tahlan_utpc_shot_splinter,tahlan_trail_contrail,10,0,0.1,0.6,8,12,"[150,120,110]","[50,50,50]",0.3,300,500,true,10,5,1,TRUE,FALSE,FALSE,30,50,0.3,0,75,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#tahlan_aetnos_trail2,tahlan_aetnos_shot,base_trail_heavySmoke,10,0,0.1,0.6,5,12,"[70,60,50]","[50,50,50]",0.2,300,350,true,10,2,1,TRUE,FALSE,FALSE,0,0,0,0,0,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_porph_trail_1,tahlan_porph_shot,tahlan_trail_flame,10,0,0.1,0.4,20,10,"[255,30,0]","[150,10,0]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,50,100,0.2,0,100,200,true,false
tahlan_porph_trail_2,tahlan_porph_shot,tahlan_trail_flame,10,0,0.1,0.4,20,10,"[255,30,0]","[150,10,0]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,40,80,0.2,0,80,160,true,false
tahlan_porph_trail_smoke,tahlan_porph_shot,tahlan_trail_contrail,10,0,0.3,0.7,20,30,"[150,150,150]","[50,50,50]",0.3,300,500,true,10,0,1,TRUE,FALSE,TRUE,30,50,0.3,0,75,100,true,false
tahlan_porph_trail_smoke2,tahlan_porph_shot,tahlan_trail_contrail,10,0,0.3,0.7,20,30,"[150,150,150]","[50,50,50]",0.3,300,500,true,10,0,1,TRUE,FALSE,TRUE,30,50,0.3,0,75,100,true,false
tahlan_porph_trail_3,tahlan_porph_shot,tahlan_trail_flame,10,0,0.1,0.3,20,10,"[255,30,0]","[150,10,0]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,50,100,0.4,0,100,200,true,false
tahlan_porph_trail_glow,tahlan_porph_shot,tahlan_trail_zappy,10,0,0.05,0.1,40,10,"[255,20,0]","[255,20,0]",0.2,300,-300,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_sturm_trail_1,tahlan_sturm_shot,tahlan_trail_flame,10,0,0.1,0.3,16,8,"[107,218,255]","[116,242,167]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,50,100,0.2,0,100,200,true,false
tahlan_sturm_trail_2,tahlan_sturm_shot,tahlan_trail_flame,10,0,0.1,0.3,16,8,"[107,218,255]","[116,242,167]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,40,80,0.2,0,80,160,true,false
tahlan_sturm_trail_smoke,tahlan_sturm_shot,tahlan_trail_contrail,10,0,0.3,0.4,20,30,"[150,150,150]","[50,50,50]",0.3,300,500,true,10,0,1,TRUE,FALSE,TRUE,30,50,0.3,0,75,100,true,false
tahlan_sturm_trail_smoke2,tahlan_sturm_shot,tahlan_trail_contrail,10,0,0.3,0.4,20,30,"[150,150,150]","[50,50,50]",0.3,300,500,true,10,0,1,TRUE,FALSE,TRUE,30,50,0.3,0,75,100,true,false
tahlan_sturm_trail_3,tahlan_sturm_shot,tahlan_trail_flame,10,0,0.1,0.3,20,10,"[107,218,255]","[116,242,167]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,50,100,0.4,0,100,200,true,false
tahlan_sturm_trail_glow,tahlan_sturm_shot,tahlan_trail_zappy,10,0,0.05,0.1,30,10,"[107,218,255]","[116,242,167]",0.2,300,-300,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_ryza_trail1,tahlan_ryza_shot,tahlan_trail_zappy,10,0.05,0.1,0.15,25,5,"[107,218,255]","[150,60,80]",0.8,400,20,true,10,5,1,TRUE,FALSE,TRUE,70,10,0.2,0,60,0,true,false
tahlan_ryza_trail2,tahlan_ryza_shot,tahlan_trail_zappy,10,0.05,0.15,0.25,25,5,"[107,218,255]","[150,30,80]",0.9,400,20,true,10,5,1,TRUE,FALSE,TRUE,50,10,0.2,0,40,0,true,false
tahlan_ryza_trail3,tahlan_ryza_shot,tahlan_trail_zappy,10,0.05,0.2,1.1,25,5,"[255,255,255]","[150,0,80]",1,400,20,true,10,5,1,TRUE,FALSE,TRUE,30,10,0.2,0,20,0,true,false
tahlan_ryza_trail4,tahlan_ryza_shot,tahlan_trail_twin,10,0,0.3,1.2,20,20,"[150,150,150]","[150,0,100]",0.4,400,20,true,10,20,1,TRUE,FALSE,TRUE,30,20,0.3,0,75,20,true,false
tahlan_ryza_trail5,tahlan_ryza_shot,base_trail_zap,10,0.05,0.2,1.2,20,20,"[100,120,120]","[150,0,100]",0.3,400,20,true,20,20,1,TRUE,FALSE,TRUE,30,20,0.4,15,50,20,true,false
tahlan_ryza_trail6,tahlan_ryza_shot,tahlan_trail_contrail,10,0.05,0.2,1.2,20,20,"[100,120,120]","[150,0,100]",0.3,400,20,true,20,20,1,TRUE,FALSE,TRUE,30,20,0.4,-15,50,20,true,false
tahlan_ryza_trail7,tahlan_ryza_shot,tahlan_trail_smooth,10,0.05,0.2,1.2,100,100,"[0,50,150]","[150,0,100]",0.2,400,20,true,20,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
tahlan_ryza_trail8,tahlan_ryza_shot,tahlan_trail_foggy,10,0.1,0.1,0.1,80,20,"[35,138,255]","[35,138,255]",0.4,200,20,true,40,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_ryza_trail9,tahlan_ryza_shot,tahlan_trail_foggy,10,0.1,0.08,0.08,60,20,"[65,168,255]","[65,168,255]",0.3,200,20,true,40,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_mezoa_trail1,tahlan_mezoa_shot,tahlan_trail_zappy,10,0.05,0.05,0.15,16,3.5,"[107,218,255]","[150,60,80]",0.8,300,20,true,5,5,1,TRUE,FALSE,TRUE,70,10,0.2,0,60,0,true,false
tahlan_mezoa_trail2,tahlan_mezoa_shot,tahlan_trail_zappy,10,0.05,0.1,0.25,16,3.5,"[107,218,255]","[150,30,80]",0.9,300,20,true,5,5,1,TRUE,FALSE,TRUE,50,10,0.2,0,40,0,true,false
tahlan_mezoa_trail3,tahlan_mezoa_shot,tahlan_trail_zappy,10,0.05,0.15,0.9,15,3.5,"[255,255,255]","[150,0,80]",1,300,20,true,5,5,1,TRUE,FALSE,TRUE,30,10,0.2,0,20,0,true,false
tahlan_mezoa_trail4,tahlan_mezoa_shot,tahlan_trail_twin,10,0,0.25,1,16,16,"[150,150,150]","[150,30,80]",0.4,300,20,true,5,20,1,TRUE,FALSE,TRUE,30,20,0.3,0,75,20,true,false
tahlan_mezoa_trail5,tahlan_mezoa_shot,base_trail_zap,10,0.05,0.15,1,16,16,"[100,120,120]","[150,0,100]",0.3,300,20,true,10,20,1,TRUE,FALSE,TRUE,30,20,0.4,10,50,20,true,false
tahlan_mezoa_trail6,tahlan_mezoa_shot,tahlan_trail_contrail,10,0.05,0.15,1,16,16,"[100,120,120]","[150,0,100]",0.3,300,20,true,10,20,1,TRUE,FALSE,TRUE,30,20,0.4,-10,50,20,true,false
tahlan_mezoa_trail7,tahlan_mezoa_shot,tahlan_trail_smooth,10,0.05,0.15,1,80,80,"[0,50,150]","[150,0,100]",0.2,300,20,true,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,true,false
tahlan_mezoa_trail8,tahlan_mezoa_shot,tahlan_trail_foggy,10,0.1,0.1,0.1,60,15,"[35,138,255]","[35,138,255]",0.4,200,20,true,40,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_mezoa_trail9,tahlan_mezoa_shot,tahlan_trail_foggy,10,0.1,0.08,0.08,40,15,"[65,168,255]","[65,168,255]",0.3,200,20,true,40,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_glanz_trail_1,tahlan_glanz_shot,tahlan_trail_zappy,10,0,0,0.35,10,5,"[116,242,167]","[16,162,242]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,50,100,0.2,0,100,200,true,false
tahlan_glanz_trail_2,tahlan_glanz_shot,tahlan_trail_zappy,10,0,0,0.35,10,5,"[116,242,167]","[16,162,242]",0.3,300,-300,true,10,0,1,TRUE,FALSE,TRUE,40,80,0.2,0,80,160,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_kriegsmesser_trail_1,tahlan_kriegsmesser_msl,tahlan_trail_contrail,10,0,0.3,1,15,20,"[255,0,50]","[108,190,235]",0.5,300,500,true,0,0,0,TRUE,FALSE,TRUE,50,0,0.2,0,50,20,true,false
tahlan_kriegsmesser_trail_2,tahlan_kriegsmesser_msl,tahlan_trail_contrail,10,0,0.3,1,15,20,"[255,0,50]","[108,190,235]",0.5,300,500,true,0,0,0,TRUE,FALSE,TRUE,50,0,0.2,0,50,20,true,false
tahlan_kriegsmesser_trail_3,tahlan_kriegsmesser_msl,tahlan_trail_contrail,10,0,0.2,0.8,20,30,"[108,190,235]","[78,190,235]",0.5,300,500,true,0,10,0,TRUE,FALSE,TRUE,10,10,0.2,0,10,30,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#tahlan_dolch_trail_glow,tahlan_dolch_dummy_msl,tahlan_trail_zappy,10,0,0.05,0.3,20,10,"[90,237,205]","[65,190,255]",0.2,300,500,true,0,0,1,TRUE,FALSE,TRUE,30,30,0,0,0,0,false,false
tahlan_dolch_trail,tahlan_dolch_dummy_msl,tahlan_trail_zappy,10,0.05,0.5,0.8,10,6,"[90,237,205]","[90,237,255]",0.2,300,500,true,0,0,0,TRUE,FALSE,TRUE,30,30,0.1,0,0,50,true,false
tahlan_dolch_trail_2,tahlan_dolch_dummy_msl,tahlan_trail_dhelix,10,0,0.2,0.8,10,15,"[255,240,150]","[65,190,255]",0.5,300,-200,true,0,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_gardas_trail,tahlan_gardas_shot,tahlan_trail_zappy,10,0.05,0,0.6,20,4,"[255,180,100]","[255,150,150]",0.4,300,-300,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_gardas_trail_glow,tahlan_gardas_shot,tahlan_trail_zappy,10,0,0.05,0.15,50,10,"[255,45,0]","[255,45,0]",0.4,300,-300,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_gardas_trail_smoke1,tahlan_gardas_shot,tahlan_trail_contrail,10,0.05,0.5,1.8,12,5,"[180,120,120]","[50,50,50]",0.2,300,-300,true,20,0,1,TRUE,FALSE,TRUE,20,60,0.4,0,0,200,true,false
tahlan_gardas_trail_smoke2,tahlan_gardas_shot,tahlan_trail_contrail,10,0.05,0.5,1.8,12,5,"[180,120,120]","[50,50,50]",0.2,300,-300,true,20,0,1,TRUE,FALSE,TRUE,20,60,0.4,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_atrapos_trail,tahlan_atrapos_shot,tahlan_trail_zappy,10,0.05,0,0.5,14,4,"[255,180,100]","[255,150,150]",0.4,300,-300,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_atrapos_trail_smoke,tahlan_atrapos_shot,tahlan_trail_contrail,10,0.05,0.5,1.3,8,3,"[180,120,120]","[50,50,50]",0.2,300,-300,true,20,0,1,TRUE,FALSE,TRUE,20,60,0.4,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_fusor_trail,tahlan_fusor_shot,tahlan_trail_fuzzy,20,0,0.1,0.1,30,60,"[0,180,255]","[0,180,255]",0.2,300,300,true,10,50,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,50,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_armiger_trail,tahlan_armiger_shot,tahlan_trail_contrail,10,0.05,0.5,0.3,12,10,"[150,140,120]","[120,120,120]",0.2,300,-300,true,20,10,1,TRUE,FALSE,TRUE,20,20,0.3,0,30,90,true,false
tahlan_armiger_trail_2,tahlan_armiger_shot,tahlan_trail_contrail,10,0.05,0.3,0.5,10,12,"[150,150,150]","[120,120,120]",0.3,300,-300,true,20,10,1,TRUE,FALSE,TRUE,20,20,0.3,0,30,90,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_breaker_trail,tahlan_breaker_shot,tahlan_trail_contrail,10,0.05,0.2,0.4,5,10,"[150,150,150]","[120,120,120]",0.3,300,-300,true,20,10,1,TRUE,FALSE,TRUE,20,20,0.3,0,30,90,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_conand_trail,tahlan_conand_shot,tahlan_trail_contrail,30,0.05,0,0.4,5,5,"[255,255,255]","[50,50,50]",0.4,300,-300,true,20,10,1,TRUE,FALSE,TRUE,20,20,0.3,0,30,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_panzerfaust_trail,tahlan_panzerfaust_shot,tahlan_trail_contrail,10,0.05,0.2,0.2,18,12,"[255,175,65]","[255,0,150]",0.3,300,-300,true,20,10,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
tahlan_panzerfaust_trail_2,tahlan_panzerfaust_shot,tahlan_trail_contrail,10,0.05,0.4,0.6,15,20,"[150,150,150]","[50,50,50]",0.4,300,-300,true,20,10,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
tahlan_panzerfaust_trail_3,tahlan_panzerfaust_shot,tahlan_trail_contrail,10,0.05,0.4,0.6,15,20,"[150,150,150]","[50,50,50]",0.4,300,-300,true,20,10,1,TRUE,FALSE,TRUE,10,30,0.3,0,0,80,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_ronka_trail,tahlan_ronka_shot,tahlan_trail_fuzzy,10,0.05,0,0.5,7,14,"[255,220,180]","[255,220,180]",0.2,300,-300,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_glanzflak_trail,tahlan_glanzflak_shot,tahlan_trail_fuzzy,10,0.05,0,0.5,7,14,"[255,180,220]","[255,180,220]",0.2,300,-300,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_fafnir_trail_glow,tahlan_fafnir_shot,tahlan_trail_zappy,10,0,0.05,0.15,30,10,"[120,205,255]","[120,205,255]",0.4,300,-300,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_fafnir_trail_core,tahlan_fafnir_shot,tahlan_trail_smooth,10,0.05,0.6,0.3,4,4,"[255,255,255]","[255,255,255]",0.8,300,-300,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_fafnir_trail_fringe,tahlan_fafnir_shot,tahlan_trail_zappy,10,0.05,0.6,0.3,12,12,"[120,205,255]","[120,205,255]",0.8,300,-300,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_taffeta_trail_core,tahlan_taffeta_shot,tahlan_trail_twin,10,0,0.2,1,8,8,"[215,255,235]","[0,0,255]",0.5,300,-300,true,10,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,50,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_phira_shock_trail_glow,tahlan_phira_shock_shot,tahlan_trail_fuzzy,10,0,0.05,0.15,30,10,"[255,130,30]","[255,130,30]",0.3,300,-300,true,30,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_phira_shock_trail_core,tahlan_phira_shock_shot,tahlan_trail_smooth,10,0.05,0.5,0.4,3,3,"[255,255,255]","[255,255,255]",1,300,-300,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_phira_shock_trail_fringe,tahlan_phira_shock_shot,tahlan_trail_smooth,10,0.05,0.5,0.5,10,10,"[255,130,30]","[255,130,30]",0.7,300,-300,true,0,0,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
